"index"	"Unnamed: 0"	"Unnamed: 1"	"Unnamed: 2"	"区分"	"入札公告（現在募集中）"	"備考"	"落札情報（過去）"	"備考.1"
1286	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R2)随意契約（公共工事）11月分：PDF"
1287	"地方防衛局"	"南関東防衛局"					"https://tinyurl.com/2435c6o6"	"（R2)随意契約（公共工事）10月分：PDF"
1288	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R2)随意契約（公共工事）9月分：PDF"
1289	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R2)随意契約（公共工事）8月分：PDF"
1290	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R2)随意契約（公共工事）7月分：PDF"
1291	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R2)随意契約（公共工事）6月分：PDF"
1292	"地方防衛局"	"南関東防衛局"					"https://tinyurl.com/26347szq"	"（R2)随意契約（公共工事）5月分：PDF"
1293	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R2)随意契約（公共工事）4月分：PDF"
1294	"地方防衛局"	"南関東防衛局"						
1295	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R6)随意契約（物品役務）11月分：PDF"
1296	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R6)随意契約（物品役務）10月分：PDF"
1297	"地方防衛局"	"南関東防衛局"					"https://tinyurl.com/2yalagoa"	"（R6)随意契約（物品役務）9月分：PDF"
1298	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R6)随意契約（物品役務）8月分：PDF"
1299	"地方防衛局"	"南関東防衛局"					"https://tinyurl.com/2bkw8lp7"	"（R6)随意契約（物品役務）7月分：PDF"
1300	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R6)随意契約（物品役務）6月分：PDF"
1301	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R6)随意契約（物品役務）5月分：PDF"
1302	"地方防衛局"	"南関東防衛局"					"https://tinyurl.com/28yekdv5"	"（R6)随意契約（物品役務）4月分：PDF"
1303	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R6)随意契約（物品役務）3月分：PDF"
1304	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R6)随意契約（物品役務）2月分：PDF"
1305	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R6)随意契約（物品役務）1月分：PDF"
1306	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R5)随意契約（物品役務）12月分：PDF"
1307	"地方防衛局"	"南関東防衛局"					"記載なし"	"（R5)随意契約（物品役務）11月分：PDF"
1308	"地方防衛局"	"南関東防衛局"					"https://tinyurl.com/2avj2nat"	"（R5)随意契約（物品役務）10月分：PDF"
1309	"地方防衛局"	"南関東防衛局"					"https://tinyurl.com/25gpoj2y"	"（R5)随意契約（物品役務）9月分：PDF"
1310	"地方防衛局"	"南関東防衛局"					"https://tinyurl.com/27udz3z3"	"（R5)随意契約（物品役務）8月分：PDF"
